facility_id,common_name,address,city,zip_code,block_lot,owned_leased,dept_id,department_name,gross_sq_ft,longitude,latitude,geom,supervisor_district,city_tenants
947,John Yehall Chin Elementary,350 Broadway,San Francisco,94133,143003,Own,16,School District (Sfusd),23100,-122.4032175,37.79861099,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.798610994', 'longitude': '-122.403217477'}",3,
,,,,,,,,,,,,,,
1223,Palega Recreation Center,500 Felton St,San Francisco,94134,5929001,Own,49,Recreation And Parks,16978,-122.40968,37.7290843,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.729084301', 'longitude': '-122.409679988'}",9,
,,,,,,,,,,,,,,
3001,Coffman Community Pool,1701 Visitacion Ave,San Francisco,94134,6190066,Own,49,Recreation And Parks,2289,-122.4134545,37.71893133,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.718931328', 'longitude': '-122.413454538'}",9,
,,,,,,,,,,,,,,
627,Edison Charter Academy Elementary,3531 22nd St,San Francisco,94114,3630001,Own,16,School District (Sfusd),59200,-122.4262657,37.75443624,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.754436242', 'longitude': '-122.42626571'}",8,
,,,,,,,,,,,,,,
1101,MICHELANGELO PLAYGROUND CTR,1055 Greenwich St,San Francisco,94133,93024,Own,49,Recreation And Parks,629,-122.4169319,37.80121448,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.80121448', 'longitude': '-122.416931874'}",2,
,,,,,,,,,,,,,,
3190,"SE LIME 830, 831 & 832 BLDGS",1700 Jerrold Ave,San Francisco,94124,5304005,Own,47,Public Utilities Commission,,-122.3924763,37.74321787,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.743217870000024', 'longitude': '-122.392476267'}",10,
,,,,,,,,,,,,,,
1989,"Pier 70 - Pier 68 - Yard Washroom, Bldg. #110",590 20TH ST,San Francisco,94107,9900501,Own,46,Port,3925,-122.3859523,37.7620301,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.762030099000015', 'longitude': '-122.38595231199997'}",10,
,,,,,,,,,,,,,,
997,Lakeshore Elementary,220 Middlefield Dr,San Francisco,94132,7298005,Own,16,School District (Sfusd),56101,-122.4860086,37.73005069,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.730050694', 'longitude': '-122.48600857399998'}",7,
,,,,,,,,,,,,,,
